index,COUNTY
MAHNOMEN,1
PRAIRIE,1
HARMON,1
STEELE,1
ROANOKE,1
NUCKOLLS,1
CULPEPER,1
BATH,1
TILLMAN,1
SPOTSYLVANIA,1
OSBORNE,1
VERMILLION,1
GONZALES,1
ROSEBUD,1
HARALSON,1
AUDRAIN,1
CHURCHILL,1
NAVARRO,1
CALUMET,1
GUNNISON,1
MANASSAS,1
EARLY,1
JIM WELLS,1
DEL NORTE,1
SHIAWASSEE,1
GAINES,1
DOOLY,1
MUHLENBERG,1
HUNTERDON,1
DILLINGHAM,1
POWESHIEK,1
LAPEER,1
CHARLEVOIX,1
NORMAN,1
BOTTINEAU,1
BOND,1
OGEMAW,1
SAUNDERS,1
CORYELL,1
LITTLE RIVER,1
YADKIN,1
OGLE,1
FINNEY,1
UTUADO,1
BLECKLEY,1
QUITMAN,1
LOVE,1
KOOCHICHING,1
CHILTON,1
NIOBRARA,1
TELLER,1
HUNTINGDON,1
HABERSHAM,1
LUCE,1
DEWITT,1
TOOLE,1
SHENANDOAH,1
FAUQUIER,1
KEITH,1
CLERMONT,1
EDGEFIELD,1
CARIBOU,1
REFUGIO,1
DICKENSON,1
LANGLADE,1
MCCONE,1
MARTINSVILLE,1
NORTHWEST ARCTIC,1
DUPLIN,1
CODINGTON,1
WASCO,1
SIBLEY,1
PRICE,1
LYNN,1
TRIPP,1
CANDLER,1
ST. FRANCIS,1
SAC,1
KETCHIKAN GATEWAY,1
GRAND TRAVERSE,1
HILLSDALE,1
COLLETON,1
IRWIN,1
EDGECOMBE,1
MOFFAT,1
MANISTEE,1
CAROLINA,1
LASSEN,1
MAJOR,1
MONTROSE,1
CLINCH,1
CROSS,1
DIVIDE,1
DINWIDDIE,1
ALLAMAKEE,1
MINGO,1
BURT,1
TAOS,1
TATE,1
PUSHMATAHA,1
DARE,1
CIMARRON,1
HUBBARD,1
CULEBRA,1
MOODY,1
POWER,1
ATTALA,1
WESTON,1
SCREVEN,1
WINNESHIEK,1
MERRICK,1
MATANUSKA-SUSITNA,1
PARMER,1
JENNINGS,1
MACKINAC,1
RUTLAND,1
NOWATA,1
PETTIS,1
SCOTTS BLUFF,1
MINIDOKA,1
RAVALLI,1
REDWOOD,1
TOOELE,1
KANABEC,1
BLADEN,1
REPUBLIC,1
TITUS,1
ROBERTS,1
PEND OREILLE,1
OKFUSKEE,1
PENNINTON,1
GRENADA,1
TIOGA,1
DYER,1
SCHLEICHER,1
PALO PINTO,1
FILLMORE,1
BLEDSOE,1
CASSIA,1
BRANCH,1
SOMERVELL,1
DE SOTO,1
BOYLE,1
CHATTAHOOCHEE,1
MCCLAIN,1
CASEY,1
NEWBERRY,1
FERRY,1
RIO GRANDE,1
GRIGGS,1
CRANE,1
NEW KENT,1
ALCORN,1
