,state_id,zip,lat,lng,gym count
1493,AR,72669,36.065,-92.8761,0
1502,MA,2056,42.1164,-71.3296,0
1514,AK,99726,67.1184,-152.1566,0
1515,LA,70556,30.1939,-92.5597,0
1520,NM,88132,33.9243,-103.1945,0
1522,AR,72107,35.1433,-92.5417,0
1523,NM,87733,35.8099,-103.8249,0
1545,ME,4575,43.8527,-69.66199999999999,0
1551,SC,29075,34.2004,-81.3739,1
1552,AR,72865,35.3097,-93.5663,0
1575,ME,4982,45.1116,-70.423,0
1576,AK,99757,63.751000000000005,-152.751,0
1579,NM,87016,34.778,-105.92200000000001,0
1594,NJ,7880,40.873000000000005,-74.8897,4
1601,AK,99739,64.9674,-162.5486,0
1620,AK,99548,56.2448,-158.7578,0
1621,LA,70660,30.5576,-93.4503,0
1622,NM,88264,32.8977,-103.7023,0
1623,NM,87005,35.2641,-107.9767,0
1642,LA,71325,31.0013,-92.3219,0
1646,NM,87028,34.3626,-106.7722,0
1662,SC,29827,32.9646,-81.2533,0
1665,NM,87825,33.8754,-107.6327,0
1666,SC,29335,34.6576,-81.9067,0
1667,AR,72624,36.0617,-93.3747,0
1674,NJ,8321,39.2202,-75.1407,208
1695,NJ,8542,40.3528,-74.6604,34
1704,ME,4655,44.6647,-67.3932,0
1713,NM,87525,36.5869,-105.4614,0
1732,AK,99724,66.3833,-147.3216,0
1747,NJ,8248,39.1955,-74.6607,3
1757,MA,1949,42.6043,-71.0165,48
1764,LA,70463,30.6586,-89.9039,0
1767,NM,88049,33.0509,-107.9626,0
1773,NM,87512,36.909,-105.3743,0
1798,AK,99575,61.8439,-158.1082,0
1799,AK,99683,62.5018,-151.0046,0
1801,SC,29939,32.6725,-81.244,0
1802,NM,88250,32.7282,-104.9184,0
1803,SC,29918,32.7457,-81.2419,0
1831,LA,70513,29.9036,-91.9029,0
1835,AR,71772,33.8327,-93.126,0
1842,NJ,8217,39.5753,-74.7185,0
1857,AK,99763,66.8285,-161.036,0
1865,AR,72142,34.6951,-92.0583,0
1884,VT,5832,44.5882,-71.9127,1
1894,LA,71254,32.797,-91.2557,0
1898,SC,29067,34.5488,-80.5322,0
1916,AK,99791,70.561,-156.6387,0
1921,NM,88232,33.0794,-104.4594,0
1922,SC,29469,33.2488,-80.0895,0
1923,NM,88435,34.913000000000004,-104.6976,0
1941,NH,3101,42.9889,-71.4659,16
1946,AK,99744,64.3069,-149.1797,0
1956,NM,88065,32.685,-108.3202,0
1999,AR,72721,35.8274,-93.7894,0
2000,NM,87539,36.3817,-106.0392,0
2012,NJ,8310,39.5271,-74.8954,113
2035,LA,70575,29.9489,-92.1581,0
2036,LA,71459,31.0767,-93.2179,0
2039,NM,88024,32.0706,-106.6395,0
2047,NM,87027,36.1263,-106.948,0
2060,MA,2210,42.3478,-71.039,118
2069,AK,99702,64.6482,-147.049,0
2073,SC,29826,33.3721,-81.3638,0
2103,LA,71272,32.5269,-92.6494,2
2104,SC,29404,32.8986,-80.0502,10
2108,AR,72026,34.5098,-91.3063,0
2109,AR,72368,34.8099,-91.0206,0
2110,AR,72824,35.1351,-93.4137,0
2112,AR,72431,35.6334,-91.08200000000001,0
2113,AR,72538,36.4401,-92.103,0
2136,ME,4056,43.653999999999996,-70.863,0
2143,AK,99918,55.9467,-132.7437,0
2150,SC,29434,33.1413,-79.8469,0
2152,AR,72749,35.8674,-94.4369,0
2153,AR,72410,35.9336,-91.0978,0
2157,NM,87558,36.687,-105.3902,0
2183,NM,88347,32.7677,-105.6571,0
2184,LA,71256,32.951,-92.7228,0
2186,NM,87116,35.0521,-106.5715,32
2188,AR,72473,35.739000000000004,-91.1754,0
2216,AK,99737,63.7963,-145.0723,0
2229,AR,72651,36.3867,-92.4815,0
